,user,item,rating,timestamp
20389,135,788,4.0,1009692784
98550,607,1304,4.0,964743424
38780,266,1923,3.0,945669675
38990,268,2245,2.0,940183488
49627,318,79132,4.0,1424546945
42417,288,1806,2.0,978468441
25305,177,4359,3.0,1435803365
94593,599,49272,3.0,1498521825
44856,298,5377,2.0,1449592080
20934,139,5418,2.5,1453924144
41743,284,104,5.0,832695327
53280,352,3052,4.0,1493673594
92681,599,150,2.5,1498518425
27446,186,2541,4.0,1031081454
97542,606,1124,3.5,1171377668
56455,373,590,4.0,846829840
85578,555,2124,4.0,978748308
56211,372,527,5.0,874417241
44067,294,711,2.0,966634003
38176,261,96079,4.0,1404881492
62539,414,550,3.0,961439009
100563,610,95441,4.0,1493847201
15115,96,3578,4.0,964772750
73289,474,906,5.0,983032159
96377,603,1210,3.0,953927884
92924,599,788,2.5,1498515022
99935,610,5956,3.5,1479542164
85151,553,2395,3.0,1219565387
40994,276,364,5.0,858351214
20753,137,912,5.0,1204859738
57924,380,95182,2.0,1536875071
12827,82,2383,2.5,1084464048
7976,55,2490,3.5,1312747824
69907,448,82202,1.5,1325083670
93991,599,5081,2.0,1519261970
10714,68,2133,4.0,1261624135
12849,82,3638,3.5,1084521311
32894,223,6365,3.0,1226209967
33714,229,442,3.0,838144451
82524,524,370,3.0,851609083
53659,354,1639,4.0,1200941471
40995,276,370,5.0,858351214
50016,322,1517,4.0,1217676482
71309,457,1197,5.0,993610548
95596,600,3591,2.5,1237742798
32840,223,1,3.5,1226209758
3659,21,168248,3.5,1500701525
89306,579,3114,5.0,958881086
17258,111,5,3.5,1517441319
38669,266,21,4.0,945669287
27407,186,2013,4.0,1031087983
88977,574,110,5.0,834634504
52838,346,6711,3.5,1172692415
5752,41,5952,2.0,1459367614
52269,339,72733,3.0,1460183737
73973,474,3097,4.0,988580233
40052,274,6383,2.0,1171786127
78521,489,353,4.0,1333101754
54413,357,6377,4.5,1348610194
55544,368,1262,4.0,971274603
28449,198,1885,1.0,1034136153
65299,419,50,4.0,1321854706
67215,434,3863,1.0,1270602440
38738,266,1240,4.0,945670292
81597,517,952,3.0,1487956619
82958,525,52975,4.0,1476477866
26558,182,2976,4.0,1055157691
23441,160,1974,1.0,976797780
78345,487,56367,4.0,1428650046
13908,89,108949,3.5,1520408861
100577,610,97285,3.5,1479545041
33134,226,788,3.5,1095662780
21946,143,61250,3.5,1444881297
100038,610,7984,4.0,1495959169
61421,405,224,3.5,1295932380
67219,434,4011,5.0,1270606915
56271,372,1127,4.0,874416949
27642,187,2959,3.0,1161849329
85108,552,5747,5.0,1112151515
33019,225,2327,5.0,949261430
50293,325,1544,2.0,1039399042
43543,292,1017,4.5,1265679891
38161,261,5989,5.0,1404881369
50388,325,3230,3.0,1039395583
13108,84,164,4.0,858771912
96369,603,1197,3.0,953927685
89067,577,377,3.0,945967371
75972,477,57368,4.5,1200940201
72908,469,3801,4.0,965336202
77196,482,8636,5.0,1105396134
99055,608,2502,5.0,1117161750
20670,136,276,4.0,832449560
30090,210,40697,4.0,1527266191
91812,596,1610,3.5,1535827470
11916,73,69278,1.0,1464198963
54322,357,2485,3.0,1348609840
93863,599,4427,2.5,1519175643
58097,381,2,4.0,1166971855
66384,428,253,4.5,1111489812
4775,29,904,4.5,1307945605
77229,483,23,3.0,1215897538
63620,414,4139,3.0,1045422649
49986,322,356,3.5,1217676119
23012,156,3504,4.0,953534611
83645,534,1801,4.5,1459795338
6134,42,2433,3.0,996220225
9214,63,1203,4.0,1443735650
87259,562,7340,4.0,1368896103
69665,448,33615,4.0,1230326215
64726,414,62155,4.5,1273977175
2156,18,76077,3.0,1456924816
39262,274,145,2.0,1171758635
28631,199,858,4.0,940379738
99501,609,137,3.0,847221054
46968,307,1474,1.5,1186172323
36415,249,500,3.5,1356219014
56278,372,1183,5.0,874414409
60666,391,2791,3.0,1032389524
36280,247,59315,2.0,1467644146
69051,448,2522,3.0,1019139729
43896,292,101864,4.0,1421974468
25382,177,6593,3.0,1435526594
49229,318,4241,3.0,1525166542
93971,599,4993,4.0,1498499417
63233,414,2793,2.0,961439278
3652,21,152081,4.0,1500701826
60094,387,8042,4.0,1149233242
81897,517,93740,1.5,1492339130
41144,279,33794,4.0,1506394446
28299,196,58559,5.0,1460954069
26939,182,5872,3.5,1054782302
36807,249,31685,4.0,1353801119
42156,288,344,3.0,978559935
691,6,293,3.0,845553660
83822,534,51024,4.0,1459793359
87875,567,8961,3.5,1525286051
71086,453,3896,3.0,972621091
80427,509,1282,3.5,1435992559
52907,347,377,4.0,847645738
28942,200,104,4.5,1229887243
96240,603,568,3.0,963179880
34794,233,2028,4.0,1520206309
70054,448,95508,3.5,1364059114
89617,580,6287,2.5,1167861826
99646,610,1454,3.5,1479542848
31751,219,3052,5.0,1194931985
75548,477,1228,4.0,1200942089
38276,263,852,3.0,941591986
75135,474,45950,4.0,1180012514
22772,156,955,3.0,939853418
47418,307,6695,1.5,1186257809
23702,162,4,3.0,836684306
84333,541,22,4.0,835643333
86377,560,30707,3.0,1469648588
80861,510,556,4.0,1141159618
11559,68,91094,3.0,1532897372
61792,409,2710,2.0,968978115
52599,344,2353,5.0,1420496553
59909,387,5121,4.0,1132473420
4764,29,50,3.5,1308007653
48172,312,3147,4.0,1043177495
28559,198,4993,2.0,1034136388
92636,599,19,3.0,1498524930
67776,438,2541,3.0,1105649930
68311,441,71535,4.0,1449070535
4490,28,5989,3.5,1236314244
24001,166,6874,4.5,1189980540
49958,321,457,3.0,843212424
42340,288,1302,3.0,979163904
27081,183,1200,5.0,992331285
55241,367,1028,5.0,997812099
95795,600,26662,4.5,1237746726
18350,117,3,3.0,844163663
100803,610,148626,4.0,1493847175
5443,38,552,3.0,841341732
74443,474,5437,3.0,1069686047
58556,381,72226,5.0,1262898613
80094,503,1207,4.0,1335219072
4445,28,4238,2.5,1242290762
37071,249,79695,4.0,1349988230
13001,83,2762,4.0,1332840358
88439,571,1339,4.0,966900555
11091,68,6193,3.5,1240093148
83746,534,6373,3.5,1459787999
99957,610,6333,4.0,1493845384
65602,421,1099,4.0,1311494331
33605,227,55721,5.0,1447210041
91614,594,2424,5.0,1108973832
18754,120,52,3.0,860070065
84109,535,2683,1.0,939029730
41940,286,4963,4.0,1119563928
74041,474,3317,4.0,1047054422
79001,489,37386,2.5,1333234243
7895,52,96079,3.0,1468051310
13885,89,99130,3.5,1520409565
46061,305,1610,5.0,1460135948
42720,288,3095,4.0,979163436
76453,480,1889,3.5,1179162402
12522,79,2947,5.0,975281975
28568,198,5459,2.0,1034135451
75062,474,33781,3.5,1189990636
43677,292,3638,3.5,1332678591
